Date (UTC),Type,Direction,Message count
2025-01-11T00:00:00,SpamDetections,Inbound,1490
2025-01-11T00:00:00,TransportRules,Inbound,25
2025-01-11T00:00:00,TransportRules,IntraOrg,1
2025-01-10T00:00:00,EdgeBlockSpam,Inbound,83
2025-01-10T00:00:00,EmailMalware,Inbound,9
2025-01-10T00:00:00,EmailPhish,Inbound,272
2025-01-10T00:00:00,EmailPhish,IntraOrg,5
2025-01-10T00:00:00,EmailPhish,Outbound,1
2025-01-10T00:00:00,GoodMail,Inbound,104936
2025-01-10T00:00:00,GoodMail,IntraOrg,97065
2025-01-10T00:00:00,GoodMail,Outbound,19975
2025-01-10T00:00:00,SpamDetections,Inbound,3060
2025-01-10T00:00:00,TransportRules,Inbound,32
2025-01-10T00:00:00,TransportRules,IntraOrg,28
2025-01-09T00:00:00,EdgeBlockSpam,Inbound,62
2025-01-09T00:00:00,EmailMalware,Inbound,25
2025-01-09T00:00:00,EmailPhish,Inbound,181
2025-01-09T00:00:00,EmailPhish,IntraOrg,4
2025-01-09T00:00:00,EmailPhish,Outbound,3
2025-01-09T00:00:00,GoodMail,Inbound,124062
2025-01-09T00:00:00,GoodMail,IntraOrg,115357
2025-01-09T00:00:00,GoodMail,Outbound,27580
2025-01-09T00:00:00,SpamDetections,Inbound,2929
2025-01-09T00:00:00,TransportRules,Inbound,41
2025-01-09T00:00:00,TransportRules,IntraOrg,12
2025-01-09T00:00:00,TransportRules,Outbound,6
2025-01-08T00:00:00,EdgeBlockSpam,Inbound,39
2025-01-08T00:00:00,EmailMalware,Inbound,5
2025-01-08T00:00:00,EmailPhish,Inbound,150
2025-01-08T00:00:00,GoodMail,Inbound,121727
2025-01-08T00:00:00,GoodMail,IntraOrg,112982
2025-01-08T00:00:00,GoodMail,Outbound,26230
2025-01-08T00:00:00,SpamDetections,Inbound,3230
2025-01-08T00:00:00,TransportRules,Inbound,49
2025-01-08T00:00:00,TransportRules,IntraOrg,1
2025-01-07T00:00:00,EdgeBlockSpam,Inbound,30
2025-01-07T00:00:00,EmailMalware,Inbound,7
2025-01-07T00:00:00,EmailPhish,Inbound,96
2025-01-07T00:00:00,EmailPhish,IntraOrg,3
2025-01-07T00:00:00,GoodMail,Inbound,120052
2025-01-07T00:00:00,GoodMail,IntraOrg,113196
2025-01-07T00:00:00,GoodMail,Outbound,26789
2025-01-07T00:00:00,SpamDetections,Inbound,3506
2025-01-07T00:00:00,SpamDetections,IntraOrg,18
2025-01-07T00:00:00,SpamDetections,Outbound,5
2025-01-07T00:00:00,TransportRules,Inbound,49
2025-01-07T00:00:00,TransportRules,IntraOrg,4
2025-01-06T00:00:00,EdgeBlockSpam,Inbound,23
2025-01-06T00:00:00,EmailPhish,Inbound,106
2025-01-06T00:00:00,EmailPhish,IntraOrg,1
2025-01-06T00:00:00,EmailPhish,Outbound,1
2025-01-06T00:00:00,GoodMail,Inbound,120738
2025-01-06T00:00:00,GoodMail,IntraOrg,115183
2025-01-06T00:00:00,GoodMail,Outbound,26041
2025-01-06T00:00:00,SpamDetections,Inbound,2547
2025-01-06T00:00:00,SpamDetections,IntraOrg,16
2025-01-06T00:00:00,SpamDetections,Outbound,2
2025-01-06T00:00:00,TransportRules,Inbound,69
2025-01-06T00:00:00,TransportRules,IntraOrg,1
